Trace
Swept SA
A.14.12,N9010A
2714300000,-65.2080612182617
2718000000,-65.8349609375
2721700000,-64.7077255249023
2725400000,-66.1877288818359
2729100000,-66.1592178344727
2732800000,-66.3296127319336
2736500000,-66.6001434326172
2740200000,-66.4632186889648
2743900000,-65.9789581298828
2747600000,-65.6481628417969
2751300000,-65.1301803588867
2755000000,-65.883659362793
2758700000,-66.4093017578125
2762400000,-65.8832473754883
2766100000,-66.1729736328125
2769800000,-65.4411468505859
2773500000,-65.8735809326172
2777200000,-65.155891418457
2780900000,-65.4141464233398
2784600000,-65.0148849487305
2788300000,-65.9427871704102
2792000000,-65.9858322143555
2795700000,-65.5628128051758
2799400000,-65.0797805786133
2803100000,-65.1538314819336
2806800000,-65.5997619628906
2810500000,-65.0742111206055
2814200000,-66.0294494628906
2817900000,-65.8337783813477
2821600000,-66.2451629638672
2825300000,-66.2361679077148
2829000000,-66.3939056396484
2832700000,-66.4370880126953
2836400000,-65.9797821044922
2840100000,-65.8693313598633
2843800000,-66.4829330444336
2847500000,-66.2747955322266
2851200000,-66.5384750366211
2854900000,-66.1474609375
2858600000,-66.0535430908203
2862300000,-66.0749359130859
2866000000,-66.6334915161133
2869700000,-65.5429306030273
2873400000,-66.439697265625
2877100000,-65.7305603027344
2880800000,-66.6823196411133
2884500000,-65.4396820068359
2888200000,-65.815315246582
2891900000,-66.1409072875977
2895600000,-66.6951904296875
2899300000,-66.6526412963867
2903000000,-66.3733901977539
2906700000,-65.9972305297852
2910400000,-66.7432250976563
2914100000,-66.3523635864258
2917800000,-66.10546875
2921500000,-65.4855041503906
2925200000,-66.3103790283203
2928900000,-65.2971496582031
2932600000,-65.5517196655273
2936300000,-66.1164321899414
2940000000,-66.3989334106445
2943700000,-66.4161376953125
2947400000,-66.4480209350586
2951100000,-66.223388671875
2954800000,-65.8187637329102
2958500000,-65.5165023803711
2962200000,-65.3869476318359
2965900000,-66.5854187011719
2969600000,-66.3118286132813
2973300000,-66.4240646362305
2977000000,-65.6595153808594
2980700000,-65.5408630371094
2984400000,-65.9399566650391
2988100000,-65.6423263549805
2991800000,-65.9069290161133
2995500000,-64.2437896728516
2999200000,-65.6747360229492
3002900000,-65.1257553100586
3006600000,-65.7622451782227
3010300000,-65.0508499145508
3014000000,-65.8776779174805
3017700000,-65.7946472167969
3021400000,-64.5805358886719
3025100000,-64.6590118408203
3028800000,-64.9306793212891
3032500000,-64.8687057495117
3036200000,-65.4608001708984
3039900000,-65.8015213012695
3043600000,-65.4179000854492
3047300000,-65.3345565795898
3051000000,-64.4522933959961
3054700000,-64.4974822998047
3058400000,-65.0417327880859
3062100000,-64.8922729492188
3065800000,-65.6139831542969
3069500000,-65.0804214477539
3073200000,-65.7573013305664
3076900000,-66.3643569946289
3080600000,-65.3898391723633
3084300000,-65.4559860229492
3088000000,-65.6092376708984
3091700000,-65.7445831298828
3095400000,-65.6881103515625
3099100000,-65.5683670043945
3102800000,-65.0738677978516
3106500000,-65.6218338012695
3110200000,-66.1003494262695
3113900000,-66.0151596069336
3117600000,-66.2658462524414
3121300000,-65.2184219360352
3125000000,-64.88818359375
3128700000,-65.781608581543
3132400000,-65.4762725830078
3136100000,-65.6626892089844
3139800000,-65.6027679443359
3143500000,-65.4122085571289
3147200000,-64.6166000366211
3150900000,-64.5068893432617
3154600000,-64.2095642089844
3158300000,-64.9487533569336
3162000000,-65.1153335571289
3165700000,-64.6161651611328
3169400000,-65.7020416259766
3173100000,-65.2211380004883
3176800000,-64.924430847168
3180500000,-64.4473190307617
3184200000,-64.9492568969727
3187900000,-65.09033203125
3191600000,-64.0394744873047
3195300000,-65.2429046630859
3199000000,-64.7337799072266
3202700000,-65.0483932495117
3206400000,-65.6062774658203
3210100000,-65.3761672973633
3213800000,-65.8092422485352
3217500000,-66.1223831176758
3221200000,-65.6684722900391
3224900000,-65.2331161499023
3228600000,-65.5141830444336
3232300000,-65.9069595336914
3236000000,-65.7551498413086
3239700000,-65.5650024414063
3243400000,-65.7761764526367
3247100000,-66.2898330688477
3250800000,-65.1862106323242
3254500000,-65.8717727661133
3258200000,-64.965461730957
3261900000,-65.1652374267578
3265600000,-65.12451171875
3269300000,-65.3861923217773
3273000000,-65.183952331543
3276700000,-64.6987609863281
3280400000,-65.9039306640625
3284100000,-65.2944564819336
3287800000,-64.4009857177734
3291500000,-65.1420135498047
3295200000,-64.3214950561523
3298900000,-65.3140335083008
3302600000,-65.4012756347656
3306300000,-64.1698532104492
3310000000,-65.7066345214844
3313700000,-65.5069732666016
3317400000,-63.7453689575195
3321100000,-64.4428634643555
3324800000,-65.3299789428711
3328500000,-64.9842910766602
3332200000,-65.5761642456055
3335900000,-64.5190582275391
3339600000,-65.2929916381836
3343300000,-65.4316253662109
3347000000,-64.7415542602539
3350700000,-65.4475708007813
3354400000,-65.5808486938477
3358100000,-66.1203231811523
3361800000,-66.3603210449219
3365500000,-66.3586120605469
3369200000,-66.5859222412109
3372900000,-66.0403518676758
3376600000,-66.9185791015625
3380300000,-66.4263763427734
3384000000,-65.9544067382813
3387700000,-66.223747253418
3391400000,-66.1177749633789
3395100000,-66.0625152587891
3398800000,-65.8355255126953
3402500000,-66.5766906738281
3406200000,-65.7668991088867
3409900000,-66.0178527832031
3413600000,-66.3859176635742
3417300000,-66.4261932373047
3421000000,-66.3925094604492
3424700000,-66.2192153930664
3428400000,-66.2411880493164
3432100000,-66.1889266967773
3435800000,-66.6254043579102
3439500000,-66.2228546142578
3443200000,-65.9571990966797
3446900000,-65.4451446533203
3450600000,-67.298583984375
3454300000,-65.9275741577148
3458000000,-66.090934753418
3461700000,-66.5087509155273
3465400000,-66.7041702270508
3469100000,-66.2185897827148
3472800000,-64.4874496459961
3476500000,-65.4508743286133
3480200000,-66.1034240722656
